"Parish","OldMunicipality","2021-Jan","YoungMales","YoungFemales","WorkingMales","WorkingFemales","ElderlyMales","ElderlyFemales","PreschoolMales","PreschoolFemales","SchoolMales","SchoolFemales"
"Aizkraukle","Aizkraukles novads",7462,572,491,2243,2365,583,1208,270,219,410,366
"Aizkraukles pagasts","Aizkraukles novads",1052,75,74,375,321,74,133,31,35,65,61
"Daudzeses pagasts","Jaunjelgavas novads",949,76,69,328,275,77,124,41,33,50,50
"Jaunjelgava","Jaunjelgavas novads",1900,129,134,619,550,173,295,58,65,108,98
"Jaunjelgavas pagasts","Jaunjelgavas novads",81,6,8,35,20,6,6,1,4,5,4
"Seces pagasts","Jaunjelgavas novads",964,74,68,344,302,75,101,37,32,52,53
"Sērenes pagasts","Jaunjelgavas novads",757,52,41,280,231,64,89,20,12,41,39
"Staburaga pagasts","Jaunjelgavas novads",347,14,15,132,102,29,55,4,9,12,9
"Sunākstes pagasts","Jaunjelgavas novads",394,25,10,156,110,29,64,7,3,26,11
"Bebru pagasts","Kokneses novads",1082,100,97,385,326,57,117,44,40,76,75
"Iršu pagasts","Kokneses novads",447,27,30,167,141,36,46,10,12,27,30
"Kokneses pagasts","Kokneses novads",3686,254,252,1208,1172,277,523,134,112,174,198
"Mazzalves pagasts","Neretas novads",1014,42,50,395,308,97,122,25,23,31,31
"Neretas pagasts","Neretas novads",1470,80,88,517,440,125,220,32,39,69,71
"Pilskalnes pagasts","Neretas novads",350,15,12,139,97,38,49,9,3,10,12
"Zalves pagasts","Neretas novads",569,38,31,206,171,46,77,16,15,25,21
"Aiviekstes pagasts","Pļaviņu novads",624,34,41,226,173,55,95,14,17,27,30
"Klintaines pagasts","Pļaviņu novads",665,26,36,254,194,64,91,11,15,18,27
"Pļaviņas","Pļaviņu novads",3076,210,208,995,947,233,483,98,99,158,152
"Vietalvas pagasts","Pļaviņu novads",701,48,52,251,184,71,95,19,27,41,36
"Skrīveru pagasts","Skrīveru novads",3506,286,251,1110,1044,310,505,131,109,199,189
